system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
05-08,,0.5837,,,,,0.6942333333333334,,0.8517833333333333,0.9073444444444444,0.8799066666666666,0.8915333333333333,0.8741722222222222,0.7678,0.7702277777777777,0.7636133333333334,0.8925222222222222,,,,0.6302222222222222,,
05-09,,0.7807222222222222,0.8704222222222222,,,0.8081222222222222,0.84621,0.6190625000000001,0.8875444444444445,0.8956555555555555,,0.8352166666666667,0.8188666666666666,0.84438,0.8370722222222222,,0.502625,0.6409,,,0.8595222222222222,,0.9503588235294118
05-10,,,0.7772333333333333,,,0.8884388888888889,0.8611722222222222,0.9189388888888889,0.8684000000000001,,1.0081833333333334,0.9102944444444444,,0.8633,0.6932555555555555,0.6743444444444444,0.6736555555555556,,,,,0.6374833333333334,0.9138000000000001
05-11,,,,,0.8147,0.6322,0.8260444444444444,0.9161666666666667,0.7677916666666667,,0.3625666666666667,0.8712388888888889,,0.7094944444444444,0.8977111111111111,0.8146375,,,,0.8944333333333333,0.8892944444444445,,0.9071944444444444
05-12,,0.5338,,,,,,0.9139888888888889,0.7884333333333333,0.5821666666666667,0.5992333333333333,,0.8741666666666666,0.7404142857142857,0.9665333333333334,0.8537944444444444,0.5646,0.7807833333333334,0.9067888888888889,0.8107833333333333,0.9328,0.9540388888888889,0.8666722222222222
05-13,,,,,,0.8487,,0.9155055555555556,0.8532777777777778,,,0.8970857142857143,0.8903722222222222,,,,,0.8684222222222222,0.9061388888888888,0.7786333333333334,0.861125,,0.9170333333333334
05-14,0.7359428571428571,0.80905,,0.8174444444444444,,0.96695,,0.6747,0.8624277777777778,,,,0.8177,0.7870176470588235,,,,0.8098777777777778,0.5393833333333333,0.8378875,0.3626111111111111,,0.9123083333333333
05-15,,0.7698111111111111,0.6988375,0.9352,0.7587555555555555,0.8169222222222222,0.9201,0.9417388888888889,0.8553,,,,0.76303125,0.8101777777777778,,,0.8386941176470588,0.8541882352941177,0.49093333333333333,0.9074,0.8752222222222222,,
05-16,0.7230555555555556,0.8661111111111112,,,,0.8839666666666667,0.9339,,0.8390444444444445,0.8927777777777778,0.72565,0.5165666666666666,,0.7494,,0.8189,,0.7781888888888889,0.86715,0.8647111111111111,0.8735611111111111,0.6881722222222222,0.5194777777777778
05-17,,,0.6545,,0.8097666666666666,,0.9108444444444445,0.8284722222222223,0.7985944444444444,0.9160111111111111,0.493975,0.5422222222222223,0.4006,0.8040666666666667,,0.8214277777777778,,0.7950444444444444,0.8914444444444445,0.8080333333333334,0.8430833333333333,0.9572555555555555,
