system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
04-18,,,0.8998375,,,0.9089444444444444,,,0.9283055555555556,0.7499470588235294,0.8258833333333333,0.8967375,,,,0.8930875,,0.9172555555555555,0.9005388888888889,0.9024,,,0.9203333333333333
04-19,,,0.951,0.87585,,0.8565,,,0.91845,0.8889647058823529,,,,0.8987625,1.058775,0.9068222222222222,,,0.9199,0.9043833333333333,0.8960388888888888,0.6493333333333333,
04-20,,0.9261,0.9028333333333333,0.9459083333333334,,0.9201722222222223,0.9238222222222222,0.92138125,,0.9176055555555556,,,,0.8715777777777778,,0.8473625,,,0.7552111111111112,0.9689,0.9286142857142857,0.91394,0.9034
04-21,0.8505,0.9193333333333333,0.9248,,0.85413,0.9125058823529412,0.8190111111111111,,0.9117,0.8969833333333334,0.8585875000000001,0.9037555555555555,,0.8933777777777778,0.9500666666666666,1.1080285714285714,,,0.9083277777777777,,0.89094,,
04-22,,,0.8922222222222222,,,0.9165333333333333,0.9352941176470588,,0.8902,0.8868941176470588,,,,,0.9039611111111111,,,,,0.87036875,0.4754,,0.9040882352941176
04-23,,0.9234,,0.8944888888888889,,0.91395,,,0.86176,0.9068294117647059,,0.91014,0.904425,0.8872222222222222,0.8596444444444444,0.9370333333333334,0.9194666666666667,0.9120066666666666,0.9665999999999999,0.9078333333333334,0.9217944444444445,0.91942,0.9046722222222222
04-24,,0.9148111111111111,,0.9035166666666666,0.86865,0.9168333333333333,,,0.7734125,,0.9197666666666666,0.9143555555555556,0.91795,,,0.9310722222222222,,,0.8910428571428571,0.9034055555555556,,0.89442,
04-25,,,0.9039,0.8995111111111112,0.9087411764705883,,,,0.9225375,0.9068555555555555,0.9170277777777778,0.9269666666666667,0.9064,,0.92365625,0.6280222222222223,,,0.88508,0.8354,,0.8883444444444445,
04-26,,0.9119555555555555,,0.8284333333333334,,,,0.8964181818181819,0.9120722222222223,0.9012666666666667,0.9143,0.8609375,0.8893583333333334,0.8691,0.938664705882353,0.9502777777777778,0.9052,0.9053833333333333,,,,,
04-27,,0.9274833333333333,,,0.9161166666666667,,,0.9149277777777778,,0.9187777777777778,0.9153666666666667,0.9230545454545455,0.8939,0.99525,0.9051933333333333,,0.9103272727272728,0.9245833333333333,,0.91825,,,
04-28,,0.9203444444444444,,0.89732,,0.6032,0.7252666666666666,,,0.9150555555555555,0.8775999999999999,1.00585,0.9199,,0.9193166666666667,0.9262388888888888,,0.9132,0.863,,0.8825733333333333,0.9201777777777778,0.8868916666666666
04-29,,0.9166666666666666,0.9169333333333334,0.8153454545454546,,0.9701857142857142,,0.9180909090909091,,,0.9348764705882353,0.8703,0.92725,,,,,,,0.8780333333333333,0.9187,,0.8909
04-30,0.9013111111111111,,0.9275333333333333,,0.8913666666666666,,0.5817,0.9178666666666666,0.4734285714285714,0.8701777777777777,0.9156444444444445,0.84971,0.8247,,0.9086222222222222,0.9165555555555556,0.9279277777777778,,0.62175,0.922,,,
05-01,0.8691,,0.9128000000000001,,,0.9235388888888889,0.9271555555555555,,,,,0.9287555555555556,,0.9537055555555556,0.9326277777777777,0.9169666666666667,0.8309818181818182,,0.8969,,0.5761,0.94283,
05-02,0.9089777777777778,,0.92135,,,0.74925,,,,,,,,0.9183388888888889,0.9291294117647059,0.76395,,,0.9159111111111111,0.9219153846153846,,0.9411888888888889,0.8780555555555556
05-03,0.5756888888888889,0.9220888888888888,,0.5781499999999999,0.9097999999999999,,,0.9147666666666666,,0.7716666666666667,0.8733333333333333,0.8024277777777777,0.8225333333333333,,0.93135,0.7612533333333333,,,0.8326,0.94355,0.8996000000000001,0.9296555555555556,0.68264375
05-04,0.8438888888888889,0.9334,0.9174,,0.8865533333333333,0.65909,,0.91752,,,0.9127166666666666,0.9346722222222222,,,0.9275888888888889,,,0.8688722222222223,,,0.9303181818181818,0.9309666666666666,0.803
05-05,,0.9247222222222222,1.0593,0.5223599999999999,,0.8813176470588235,0.7991125,,,0.876,0.9206555555555556,0.9264055555555555,,,0.8463538461538461,0.7497333333333334,,0.9183428571428571,0.9357,0.85398,0.9212222222222222,0.9069444444444444,0.8442933333333333
05-06,0.9224,0.8003833333333333,,0.7769,,,0.9274470588235294,0.8055333333333333,,,0.9148111111111111,0.9127416666666667,,0.97176,0.7710888888888889,,0.9436333333333333,0.8420666666666666,0.9520375,,0.9307611111111112,0.9548055555555556,0.8787444444444444
05-07,0.7391222222222222,0.7254333333333333,,,,0.91546,0.8555,0.7509142857142858,,,0.89108,,,0.6685625,0.9011,0.7380888888888889,,0.9204375,0.9267166666666666,0.92369,0.9131333333333334,,0.5697
05-08,0.8341,,,0.9086692307692308,,0.7213444444444445,0.8925388888888889,,,,0.5279777777777778,0.8127428571428571,,0.8639444444444444,0.9139777777777778,,,0.8039529411764705,,0.9060888888888889,0.92819375,,
05-09,0.9018333333333333,,,0.9160055555555555,0.9652625,,,,0.9297611111111111,0.9000571428571429,,1.0043444444444445,,,0.9049222222222222,,,,,0.9691944444444445,0.6702,,0.9891333333333333
05-10,0.7785,,0.48693333333333333,0.9225611111111112,0.9099222222222222,,,,0.9307722222222222,,,0.9284722222222223,,0.8877,0.9009277777777778,,0.8637,0.9394625,,0.46065,,,0.9949833333333333
05-11,0.9099111111111111,0.9337888888888889,0.9294666666666667,0.7438,0.9340111111111111,,,0.93575,0.9313388888888889,,,,0.7587777777777778,,0.9258611111111111,0.778,,,0.7882,0.6868,,0.9019900000000001,0.463675
05-12,0.7501333333333333,0.9260222222222222,0.6698,,0.8648777777777779,0.9380055555555555,,,0.93882,,0.9202692307692307,0.9480999999999999,0.9265888888888889,0.4815666666666667,0.9163277777777777,0.5638222222222222,,,,0.8953722222222222,0.8699,,0.9195125
05-13,0.9035625,,,0.9513111111111111,,0.956025,0.92456,,0.92345,,0.8255111111111111,1.0907,,0.9401777777777778,0.9317666666666666,,0.8981600000000001,,,0.8975153846153846,0.5342,0.7561875,0.9419833333333333
05-14,0.6276444444444444,0.6650625,0.5958749999999999,0.4671,1.1082,0.7958111111111111,0.6299250000000001,,0.8515444444444444,,0.6479625,0.9144222222222221,,0.9284222222222223,,,0.9299666666666666,0.7686833333333333,0.8957333333333334,0.8927388888888889,,0.6132666666666666,0.9349222222222222
05-15,,0.7925,,0.9532875,0.9163944444444444,0.9028,0.9426388888888889,0.5953666666666667,0.9082444444444444,,,0.4820888888888889,,0.82646,0.9046888888888889,,,0.773,0.6478294117647059,0.8940444444444444,0.9372944444444444,,0.9011777777777777
05-16,,0.9423444444444444,0.855,0.9221333333333334,,,,,0.9262611111111111,,0.8689,0.6744666666666667,0.7547200000000001,0.9332555555555555,0.8387,,0.8954055555555556,0.9878333333333333,,0.8873777777777778,0.9283,0.89421,0.9387944444444445
05-17,0.6253444444444445,0.9385666666666667,0.8678888888888888,,,0.9276,,,,,0.8689399999999999,0.9285166666666667,0.88985,0.7562277777777778,0.9232833333333333,,0.48533333333333334,0.7108882352941176,,0.8992888888888889,0.9418611111111111,0.9252222222222222,0.85016
05-18,0.9223888888888889,0.6294666666666666,0.9223555555555556,,,0.7883571428571429,1.1489,,,,,0.9356166666666667,0.9267611111111111,0.9271888888888888,0.8756888888888889,,,0.9496555555555556,0.3724,0.46821111111111113,0.93545,,
05-19,0.9243222222222223,0.807875,0.8337875,0.82675,,0.9466,0.9060411764705882,,0.6672,0.432,,0.9381888888888889,0.8642333333333333,,,0.3559,,0.9475388888888889,,,0.8315133333333333,0.9062944444444445,0.9307333333333333
05-20,0.7537714285714285,,0.8205749999999999,,,,,0.9304111111111111,0.9127055555555555,0.9130444444444444,0.39598,0.9329722222222222,0.9184,,,,0.4217222222222222,,,,0.7103833333333334,0.9217833333333333,
05-21,0.9133111111111111,,,0.8482,,0.8356,,0.9225333333333333,0.7927647058823529,0.9255230769230769,,0.62558,0.733375,,0.8929888888888889,0.9257722222222222,0.4328,0.9529777777777778,,,,,
05-22,0.9285,,,0.8907692307692308,,,,,,0.6517,,0.74278,,,,0.9002944444444445,0.6175428571428572,0.8150666666666667,,0.7662571428571429,,0.9342055555555555,0.3478
05-23,0.8328111111111112,,,0.8836,,,0.45848,0.72997,,,,,,,0.7394666666666667,0.9432666666666667,0.39482222222222224,0.8679899999999999,0.93312,,,,0.9452499999999999
05-24,0.9167888888888889,0.8875,,,0.8221,0.8869529411764706,,,,0.9314277777777777,0.8712833333333333,,0.6691294117647059,0.781575,0.8360176470588235,0.9392176470588235,,0.75483,0.8853388888888889,0.886935294117647,,,0.8256333333333333
05-25,0.7909111111111111,0.8736,,,,0.8179647058823529,,,,0.9199777777777778,0.8724555555555555,0.7649777777777778,0.9365111111111111,0.9222444444444444,0.8996111111111111,,0.53576875,0.9162,0.5477875,0.8677611111111111,0.82765,,1.0435
